character,keyword,reading,decomposition,spatial,ids,components_detail,tags
抡,"to swing (one's arms, a heavy object)",lun1,fingers + lifeguard,⿰ (left-right),⿰扌仑,"扌 = fingers, 仑 = lifeguard",SC::L1
抒,to express,shu1,fingers + bestow / beforehand,⿰ (left-right),⿰扌予,"扌 = fingers, 予 = bestow / beforehand",SC::L1
芜,overgrown with weeds,wu2,flower + nothing,⿱ (top-bottom),⿱艹无,"艹 = flower, 无 = nothing",SC::L1
苇,Phragmites communis,wei3,flower + tanned hide,⿱ (top-bottom),⿱艹韦,"艹 = flower, 韦 = tanned hide",SC::L1
芥,mustard,gai4,flower + introduce / jammed in,⿱ (top-bottom),⿱艹介,"艹 = flower, 介 = introduce / jammed in",SC::L1
芯,the pith of the rush plant (used as a lampwick),xin1,flower + heart,⿱ (top-bottom),⿱艹心,"艹 = flower, 心 = heart",SC::L1
芭,an unidentified fragrant plant mentioned in the Songs of Chu 楚辭|楚辞[Chu3 ci2],ba1,flower + crust / comma-design,⿱ (top-bottom),⿱艹巴,"艹 = flower, 巴 = crust / comma-design",SC::L1
匣,case,xia2,box + first / armor,⿷ (surround-open-right),⿷匚甲,"匚 = box, 甲 = first / armor",SC::L1
卤,to stew in soy sauce and spices,lu3,,⿱ (top-bottom),⿱⺊龱,,SC::L1
吱,creaking or groaning,zhi1,mouth + offshoot / branch,⿰ (left-right),⿰口支,"口 = mouth, 支 = offshoot / branch",SC::L1
吠,to bark,fei4,mouth + pooch / dog,⿰ (left-right),⿰口犬,"口 = mouth, 犬 = pooch / dog",SC::L1
呛,to choke (because of swallowing the wrong way),qiang1,mouth + storehouse,⿰ (left-right),⿰口仓,"口 = mouth, 仓 = storehouse",SC::L1
吭,throat,hang2,mouth + whirlwind,⿰ (left-right),⿰口亢,"口 = mouth, 亢 = whirlwind",SC::L1
邑,city,yi4,mouth + crust / comma-design,⿱ (top-bottom),⿱口巴,"口 = mouth, 巴 = crust / comma-design",SC::L1
囤,bin for grain,dun4,pent in + stockpile / barracks,⿴ (surround),⿴囗屯,"囗 = pent in, 屯 = stockpile / barracks",SC::L1
吮,to suck,shun3,mouth + consent / license,⿰ (left-right),⿰口允,"口 = mouth, 允 = consent / license",SC::L1
岖,used in 崎嶇|崎岖[qi2 qu1],qu1,mountain + region / ward,⿰ (left-right),⿰山区,"山 = mountain, 区 = region / ward",SC::L1
佃,to rent farmland from a landlord,dian4,rice field,⿰ (left-right),⿰亻田,田 = rice field,SC::L1
狈,a legendary wolf,bei4,shellfish,⿰ (left-right),⿰犭贝,贝 = shellfish,SC::L1
彤,surname Tong,Tong2,cinnabar red + rooster tail,⿰ (left-right),⿰丹彡,"丹 = cinnabar red, 彡 = rooster tail",SC::L1
灸,moxibustion (TCM),jiu3,long time + fire,⿱ (top-bottom),⿱久火,"久 = long time, 火 = fire",SC::L1
刨,carpenter's plane,bao4,wrap,⿰ (left-right),⿰包刂,包 = wrap,SC::L1
庇,to protect,bi4,extensive + compare,⿸ (top-left-wrap),⿸广比,"广 = extensive, 比 = compare",SC::L1
吝,stingy,lin4,literature / sentence + mouth,⿱ (top-bottom),⿱文口,"文 = literature / sentence, 口 = mouth",SC::L1
庐,surname Lu,Lu2,extensive + door,⿸ (top-left-wrap),⿸广户,"广 = extensive, 户 = door",SC::L1
闰,intercalary,run4,gate + king,⿵ (surround-open-bottom),⿵门王,"门 = gate, 王 = king",SC::L1
沐,to bathe,mu4,tree,⿰ (left-right),⿰氵木,木 = tree,SC::L1
沥,to drip,li4,experience,⿰ (left-right),⿰氵历,历 = experience,SC::L1
沪,short name for Shanghai,Hu4,door,⿰ (left-right),⿰氵户,户 = door,SC::L1
沁,to seep,qin4,heart,⿰ (left-right),⿰氵心,心 = heart,SC::L1
忱,sincerity,chen2,Frankenbowser Rex,⿰ (left-right),⿰忄冘,冘 = Frankenbowser Rex,SC::L1
祀,to sacrifice,si4,,⿰ (left-right),⿰礻巳,,SC::L1
卦,divinatory diagram,gua4,squared jewel + divination / augury,⿰ (left-right),⿰圭卜,"圭 = squared jewel, 卜 = divination / augury",SC::L1
坷,used in 坷垃[ke1 la1],ke1,soil + can,⿰ (left-right),⿰土可,"土 = soil, 可 = can",SC::L1
坯,blank (e.g. for a coin),pi1,soil,⿰ (left-right),⿰土丕,土 = soil,SC::L1
拎,to lift up,lin1,fingers + orders,⿰ (left-right),⿰扌令,"扌 = fingers, 令 = orders",SC::L1
拄,to lean on,zhu3,fingers + lord,⿰ (left-right),⿰扌主,"扌 = fingers, 主 = lord",SC::L1
拙,awkward,zhuo1,fingers + exit,⿰ (left-right),⿰扌出,"扌 = fingers, 出 = exit",SC::L1
拗,to twist,ao4,fingers + young / infancy,⿰ (left-right),⿰扌幼,"扌 = fingers, 幼 = young / infancy",SC::L1
茉,used in 茉莉[mo4 li4],mo4,flower + last / extremity,⿱ (top-bottom),⿱艹末,"艹 = flower, 末 = last / extremity",SC::L1
苑,surname Yuan,Yuan4,flower + nameplate,⿱ (top-bottom),⿱艹夗,"艹 = flower, 夗 = nameplate",SC::L1
苞,bud,bao1,flower + wrap,⿱ (top-bottom),⿱艹包,"艹 = flower, 包 = wrap",SC::L1
茁,"to display vigorous, new growth",zhuo2,flower + exit,⿱ (top-bottom),⿱艹出,"艹 = flower, 出 = exit",SC::L1
苔,used in 舌苔[she2 tai1],tai1,flower + platform / pedestal,⿱ (top-bottom),⿱艹台,"艹 = flower, 台 = platform / pedestal",SC::L1
杭,surname Hang,Hang2,tree + whirlwind,⿰ (left-right),⿰木亢,"木 = tree, 亢 = whirlwind",SC::L1
矾,alum,fan2,stone + ordinary / mediocre,⿰ (left-right),⿰石凡,"石 = stone, 凡 = ordinary / mediocre",SC::L1
咙,used in 喉嚨|喉咙[hou2 long2],long2,mouth + dragon,⿰ (left-right),⿰口龙,"口 = mouth, 龙 = dragon",SC::L1
迪,to enlighten,di2,road + wherefore,⿺ (bottom-left-wrap),⿺辶由,"辶 = road, 由 = wherefore",SC::L1
咋,dialectal equivalent of 怎麼|怎么[zen3 me5],za3,mouth + for the first time,⿰ (left-right),⿰口乍,"口 = mouth, 乍 = for the first time",SC::L1
咄,"(interjection expressing disapproval, commiseration etc) tut!",duo1,mouth + exit,⿰ (left-right),⿰口出,"口 = mouth, 出 = exit",SC::L1
账,account,zhang4,shellfish + long,⿰ (left-right),⿰贝长,"贝 = shellfish, 长 = long",SC::L1
迭,alternately,die2,road + lose,⿺ (bottom-left-wrap),⿺辶失,"辶 = road, 失 = lose",SC::L1
秆,stalks of grain,gan3,standing grain + dry / offend,⿰ (left-right),⿰禾干,"禾 = standing grain, 干 = dry / offend",SC::L1
侥,by mere luck,jiao3,Yao,⿰ (left-right),⿰亻尧,尧 = Yao,SC::L1
侈,wasteful,chi3,many,⿰ (left-right),⿰亻多,多 = many,SC::L1
肴,meat dishes,yao2,sheaf + possess,⿱ (top-bottom),⿱㐅有,"㐅 = sheaf, 有 = possess",SC::L1
忿,anger,fen4,part + heart,⿱ (top-bottom),⿱分心,"分 = part, 心 = heart",SC::L1
肮,used in 骯髒|肮脏[ang1 zang1],ang1,month + whirlwind,⿰ (left-right),⿰月亢,"月 = month, 亢 = whirlwind",SC::L1
肪,animal fat,fang2,month + direction,⿰ (left-right),⿰月方,"月 = month, 方 = direction",SC::L1
狞,fierce-looking,ning2,calm,⿰ (left-right),⿰犭宁,宁 = calm,SC::L1
疟,malaria,nu:e4,sickness,⿸ (top-left-wrap),⿸疒𰀂,疒 = sickness,SC::L1
疙,pimple,ge1,sickness + beg,⿸ (top-left-wrap),⿸疒乞,"疒 = sickness, 乞 = beg",SC::L1
疚,chronic disease,jiu4,sickness + long time,⿸ (top-left-wrap),⿸疒久,"疒 = sickness, 久 = long time",SC::L1
庚,age,geng1,extensive + person,⿸ (top-left-wrap),⿸广⿻{43}人,"广 = extensive, 人 = person",SC::L1
炬,torch,ju4,fire + gigantic,⿰ (left-right),⿰火巨,"火 = fire, 巨 = gigantic",SC::L1
沽,to buy,Gu1,ancient / old,⿰ (left-right),⿰氵古,古 = ancient / old,SC::L1
沮,to destroy,ju3,moreover,⿰ (left-right),⿰氵且,且 = moreover,SC::L1
泞,muddy,ning4,calm,⿰ (left-right),⿰氵宁,宁 = calm,SC::L1
怯,timid,qie4,go / gone,⿰ (left-right),⿰忄去,去 = go / gone,SC::L1
帚,broomstick,zhou3,crown + towel,⿳ (top-mid-bottom),⿳𫜹冖巾,"冖 = crown, 巾 = towel",SC::L1
弧,arc,hu2,bow + melon,⿰ (left-right),⿰弓瓜,"弓 = bow, 瓜 = melon",SC::L1
妮,girl,ni1,woman + nun,⿰ (left-right),⿰女尼,"女 = woman, 尼 = nun",SC::L1
迢,far,tiao2,road + summon / seduce,⿺ (bottom-left-wrap),⿺辶召,"辶 = road, 召 = summon / seduce",SC::L1
叁,three (banker's anti-fraud numeral),san1,elbow + large + three,⿳ (top-mid-bottom),⿳厶大三,"厶 = elbow, 大 = large, 三 = three",SC::L1
驹,colt,ju1,horse + sentence / phrase,⿰ (left-right),⿰马句,"马 = horse, 句 = sentence / phrase",SC::L1
绊,to trip,ban4,thread + half,⿰ (left-right),⿰纟半,"纟 = thread, 半 = half",SC::L1
绎,to interpret,yi4,thread,⿰ (left-right),⿰纟𠬤,纟 = thread,SC::L1
玷,blemish,dian4,tell fortunes / fortune-telling,⿰ (left-right),⿰𤣩占,占 = tell fortunes / fortune-telling,SC::L1
拽,to throw,ye4,fingers,⿰ (left-right),⿰扌曳,扌 = fingers,SC::L1
哉,final exclamatory particle,zai1,mouth,⿹ (top-right-wrap),⿹𢦏口,口 = mouth,SC::L1
垢,dirt,gou4,soil + behind / queen / empress,⿰ (left-right),⿰土后,"土 = soil, 后 = behind / queen / empress",SC::L1
垛,battlement,duo3,soil + flouds,⿰ (left-right),⿰土朵,"土 = soil, 朵 = flouds",SC::L1
拯,to raise,zheng3,fingers,⿰ (left-right),⿰扌丞,扌 = fingers,SC::L1
荆,chaste tree or berry (Vitex agnus-castus),jing1,,⿰ (left-right),⿰茾刂,,SC::L1
茸,(of newly sprouted grass) soft and fine,rong2,flower + ear,⿱ (top-bottom),⿱艹耳,"艹 = flower, 耳 = ear",SC::L1
茬,stubble (crop residue),cha2,flower + at / exist,⿱ (top-bottom),⿱艹在,"艹 = flower, 在 = at / exist",SC::L1
茵,mattress,yin1,flower + cause,⿱ (top-bottom),⿱艹因,"艹 = flower, 因 = cause",SC::L1
荤,strong-smelling vegetable (garlic etc),hun1,flower + army,⿱ (top-bottom),⿱艹军,"艹 = flower, 军 = army",SC::L1
荧,a glimmer,ying2,fire,⿱ (top-bottom),⿱𫇦火,火 = fire,SC::L1
荔,litchi,li4,flower + unending exertion,⿱ (top-bottom),⿱艹劦,"艹 = flower, 劦 = unending exertion",SC::L1
栈,a wooden or bamboo pen for sheep or cattle,zhan4,tree + float,⿰ (left-right),⿰木戋,"木 = tree, 戋 = float",SC::L1
柑,large tangerine,gan1,tree + sweet,⿰ (left-right),⿰木甘,"木 = tree, 甘 = sweet",SC::L1
柠,used in 檸檬|柠檬[ning2 meng2],ning2,tree + calm,⿰ (left-right),⿰木宁,"木 = tree, 宁 = calm",SC::L1
柬,note,Jian3,tree + pent in + horns (also: animal horns),⿻ (overlaid),⿻木⿴囗丷,"木 = tree, 囗 = pent in, 丷 = horns (also: animal horns)",SC::L1
泵,pump (loanword),beng4,stone + water,⿱ (top-bottom),⿱石水,"石 = stone, 水 = water",SC::L1
砚,ink-stone,yan4,stone + see,⿰ (left-right),⿰石见,"石 = stone, 见 = see",SC::L1
韭,leek,jiu3,non- / un- + one,⿱ (top-bottom),⿱非一,"非 = non- / un-, 一 = one",SC::L1
盹,doze,dun3,eye + stockpile / barracks,⿰ (left-right),⿰目屯,"目 = eye, 屯 = stockpile / barracks",SC::L1
哆,used in 哆嗦[duo1 suo5],duo1,mouth + many,⿰ (left-right),⿰口多,"口 = mouth, 多 = many",SC::L1
咪,sound for calling a cat,mi1,mouth + rice,⿰ (left-right),⿰口米,"口 = mouth, 米 = rice",SC::L1
贻,to present,yi2,shellfish + platform / pedestal,⿰ (left-right),⿰贝台,"贝 = shellfish, 台 = platform / pedestal",SC::L1
钝,blunt,dun4,stockpile / barracks,⿰ (left-right),⿰钅屯,屯 = stockpile / barracks,SC::L1
钠,sodium (chemistry),na4,internal / inside,⿰ (left-right),⿰钅内,内 = internal / inside,SC::L1
毡,felt (fabric),zhan1,fur + tell fortunes / fortune-telling,⿺ (bottom-left-wrap),⿺毛占,"毛 = fur, 占 = tell fortunes / fortune-telling",SC::L1
俐,used in 伶俐[ling2 li4],li4,profit,⿰ (left-right),⿰亻利,利 = profit,SC::L1
禹,"Yu the Great (c. 21st century BC), mythical leader who tamed the floods",Yu3,hood (also: glass cover,⿻ (overlaid),⿻䖝冂,"冂 = hood (also: glass cover, cowl, helmet)",SC::L1
胚,embryo,pei1,month,⿰ (left-right),⿰月丕,月 = month,SC::L1
狰,used in 猙獰|狰狞[zheng1 ning2],zheng1,contend,⿰ (left-right),⿰犭争,争 = contend,SC::L1
饵,pastry,er3,ear,⿰ (left-right),⿰饣耳,耳 = ear,SC::L1
峦,mountain ranges,luan2,mountain,⿱ (top-bottom),⿱𰁜山,山 = mountain,SC::L1
闺,small arched door,gui1,gate + squared jewel,⿵ (surround-open-bottom),⿵门圭,"门 = gate, 圭 = squared jewel",SC::L1
闽,short name for Fujian province 福建[Fu2 jian4],Min3,gate + insect,⿵ (surround-open-bottom),⿵门虫,"门 = gate, 虫 = insect",SC::L1
籽,seeds,zi3,rice + child,⿰ (left-right),⿰米子,"米 = rice, 子 = child",SC::L1
炫,to dazzle,xuan4,fire + mysterious,⿰ (left-right),⿰火玄,"火 = fire, 玄 = mysterious",SC::L1
洼,depression,wa1,squared jewel,⿰ (left-right),⿰氵圭,圭 = squared jewel,SC::L1
柒,seven (banker's anti-fraud numeral),qi1,tree,⿱ (top-bottom),⿱㲺木,木 = tree,SC::L1
浏,deep (of water),liu2,,⿰ (left-right),⿰汶刂,,SC::L1
恃,to rely on,shi4,Buddhist temple,⿰ (left-right),⿰忄寺,寺 = Buddhist temple,SC::L1
恬,tranquil,tian2,tongue,⿰ (left-right),⿰忄舌,舌 = tongue,SC::L1
恤,anxiety,xu4,blood,⿰ (left-right),⿰忄血,血 = blood,SC::L1
宦,surname Huan,Huan4,house + feudal official / retainer,⿱ (top-bottom),⿱宀臣,"宀 = house, 臣 = feudal official / retainer",SC::L1
祠,shrine,ci2,take charge of / director,⿰ (left-right),⿰礻司,司 = take charge of / director,SC::L1
诲,to teach,hui4,every,⿰ (left-right),⿰讠每,每 = every,SC::L1
陨,to fall from the sky,yun3,pinnacle + employee,⿰ (left-right),⿰阝员,"阝 = pinnacle, 员 = employee",SC::L1
癸,tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],gui3,teepee + heavens,⿱ (top-bottom),⿱癶天,"癶 = teepee, 天 = heavens",SC::L1
蚤,flea,zao3,fork / forked + insect,⿱ (top-bottom),⿱叉虫,"叉 = fork / forked, 虫 = insect",SC::L1
绚,adorned,xuan4,thread + decameron,⿰ (left-right),⿰纟旬,"纟 = thread, 旬 = decameron",SC::L1
骇,to astonish,hai4,horse + sign of the hog,⿰ (left-right),⿰马亥,"马 = horse, 亥 = sign of the hog",SC::L1
耘,to weed,yun2,Christmas tree + utter / quote / cloud,⿰ (left-right),⿰耒云,"耒 = Christmas tree, 云 = utter / quote / cloud",SC::L1
耙,a hoe,ba4,Christmas tree + crust / comma-design,⿰ (left-right),⿰耒巴,"耒 = Christmas tree, 巴 = crust / comma-design",SC::L1
埂,strip of high ground,geng3,soil + even more / grow late,⿰ (left-right),⿰土更,"土 = soil, 更 = even more / grow late",SC::L1
捂,to enclose,wu3,fingers + I (literary),⿰ (left-right),⿰扌吾,"扌 = fingers, 吾 = I (literary)",SC::L1
捍,to ward off (a blow),han4,fingers + drought / dry weather,⿰ (left-right),⿰扌旱,"扌 = fingers, 旱 = drought / dry weather",SC::L1
捌,eight (banker's anti-fraud numeral),ba1,fingers + don't,⿰ (left-right),⿰扌别,"扌 = fingers, 别 = don't",SC::L1
捅,to poke,tong3,fingers + chop-rack,⿰ (left-right),⿰扌甬,"扌 = fingers, 甬 = chop-rack",SC::L1
聂,surname Nie,Nie4,ear + pair,⿱ (top-bottom),⿱耳双,"耳 = ear, 双 = pair",SC::L1
梆,watchman's rattle,bang1,tree + nation / home country,⿰ (left-right),⿰木邦,"木 = tree, 邦 = nation / home country",SC::L1
桔,used in 桔梗[jie2 geng3],jie2,tree + lucky / good luck,⿰ (left-right),⿰木吉,"木 = tree, 吉 = lucky / good luck",SC::L1
桦,birch (genus Betula),hua4,tree + splendor,⿰ (left-right),⿰木华,"木 = tree, 华 = splendor",SC::L1
砰,bang,peng1,stone + even,⿰ (left-right),⿰石平,"石 = stone, 平 = even",SC::L1
砾,gravel,li4,stone + music,⿰ (left-right),⿰石乐,"石 = stone, 乐 = music",SC::L1
殉,to be buried with the dead,xun4,malicious + decameron,⿰ (left-right),⿰歹旬,"歹 = malicious, 旬 = decameron",SC::L1
哮,pant,xiao4,mouth + filial piety,⿰ (left-right),⿰口孝,"口 = mouth, 孝 = filial piety",SC::L1
唠,used in 嘮叨|唠叨[lao2 dao5],lao2,mouth + labor,⿰ (left-right),⿰口劳,"口 = mouth, 劳 = labor",SC::L1
剔,to scrape the meat from bones,ti1,easy,⿰ (left-right),⿰易刂,易 = easy,SC::L1
蚌,mussel,Beng4,insect + plentiful,⿰ (left-right),⿰虫丰,"虫 = insect, 丰 = plentiful",SC::L1
蚣,used in 蜈蚣[wu2 gong1],gong1,insect + public,⿰ (left-right),⿰虫公,"虫 = insect, 公 = public",SC::L1
蚪,used in 蝌蚪[ke1 dou3],dou3,insect + big dipper / Big Dipper,⿰ (left-right),⿰虫斗,"虫 = insect, 斗 = big dipper / Big Dipper",SC::L1
蚓,used in 蚯蚓[qiu1 yin3],yin3,insect + draw / pull,⿰ (left-right),⿰虫引,"虫 = insect, 引 = draw / pull",SC::L1
圃,garden,pu3,pent in + Fu / offspring,⿴ (surround),⿴囗甫,"囗 = pent in, 甫 = Fu / offspring",SC::L1
哦,to chant,e2,mouth + I / ego,⿰ (left-right),⿰口我,"口 = mouth, 我 = I / ego",SC::L1
鸯,used in 鴛鴦|鸳鸯[yuan1 yang1],yang1,center + bird,⿱ (top-bottom),⿱央鸟,"央 = center, 鸟 = bird",SC::L1
唁,to extend condolences,yan4,mouth + say,⿰ (left-right),⿰口言,"口 = mouth, 言 = say",SC::L1
唧,to pump (water),ji1,mouth + immediately / instant,⿰ (left-right),⿰口即,"口 = mouth, 即 = immediately / instant",SC::L1
唆,to incite,suo1,mouth + streetwalker,⿰ (left-right),⿰口夋,"口 = mouth, 夋 = streetwalker",SC::L1
峨,name of a mountain,e2,mountain + I / ego,⿰ (left-right),⿰山我,"山 = mountain, 我 = I / ego",SC::L1
赂,bribery,lu4,shellfish + each,⿰ (left-right),⿰贝各,"贝 = shellfish, 各 = each",SC::L1
钾,potassium (chemistry),jia3,first / armor,⿰ (left-right),⿰钅甲,甲 = first / armor,SC::L1
赁,to rent,lin4,appoint / responsibility + shellfish,⿱ (top-bottom),⿱任贝,"任 = appoint / responsibility, 贝 = shellfish",SC::L1
倔,used in 倔強|倔强[jue2 jiang4],jue2,knuckle under / yield,⿰ (left-right),⿰亻屈,屈 = knuckle under / yield,SC::L1
豺,dog-like animal,chai2,feline beast + genius,⿰ (left-right),⿰豸才,"豸 = feline beast, 才 = genius",SC::L1
胰,pancreas,yi2,month + barbarian / ebisu,⿰ (left-right),⿰月夷,"月 = month, 夷 = barbarian / ebisu",SC::L1
脐,the navel,qi2,month + identical,⿰ (left-right),⿰月齐,"月 = month, 齐 = identical",SC::L1
脓,pus,nong2,month + agriculture,⿰ (left-right),⿰月农,"月 = month, 农 = agriculture",SC::L1
鸵,ostrich,tuo2,bird + it,⿰ (left-right),⿰鸟它,"鸟 = bird, 它 = it",SC::L1
鸳,mandarin duck,yuan1,nameplate + bird,⿱ (top-bottom),⿱夗鸟,"夗 = nameplate, 鸟 = bird",SC::L1
馁,dispirited,nei3,appropriate / gentle,⿰ (left-right),⿰饣妥,妥 = appropriate / gentle,SC::L1
疹,measles,zhen3,sickness + cocktail,⿸ (top-left-wrap),⿸疒㐱,"疒 = sickness, 㐱 = cocktail",SC::L1
紊,involved,wen3,literature / sentence + thread,⿱ (top-bottom),⿱文糸,"文 = literature / sentence, 糸 = thread",SC::L1
羔,lamb,gao1,,⿱ (top-bottom),⿱𦍌灬,,SC::L1
烙,to brand,lao4,fire + each,⿰ (left-right),⿰火各,"火 = fire, 各 = each",SC::L1
涝,flooded,lao4,labor,⿰ (left-right),⿰氵劳,劳 = labor,SC::L1
涣,to dissipate,huan4,first-class,⿰ (left-right),⿰氵奂,奂 = first-class,SC::L1
涤,to wash,di2,strip / twig,⿰ (left-right),⿰氵条,条 = strip / twig,SC::L1
悖,to go against,bei4,Sunday school,⿰ (left-right),⿰忄孛,孛 = Sunday school,SC::L1
悯,to sympathize,min3,,⿰ (left-right),⿰忄闵,,SC::L1
窍,opening,qiao4,hole + adroit,⿱ (top-bottom),⿱穴巧,"穴 = hole, 巧 = adroit",SC::L1
诽,slander,fei3,non- / un-,⿰ (left-right),⿰讠非,非 = non- / un-,SC::L1
冥,old variant of 冥[ming2],ming2,crown,⿱ (top-bottom),⿱冖昗,冖 = crown,SC::L1
谆,repeatedly (in giving advice),zhun1,enjoy / receive,⿰ (left-right),⿰讠享,享 = enjoy / receive,SC::L1
娟,beautiful,juan1,woman + canker sore,⿰ (left-right),⿰女肙,"女 = woman, 肙 = canker sore",SC::L1
娥,be beautiful,e2,woman + I / ego,⿰ (left-right),⿰女我,"女 = woman, 我 = I / ego",SC::L1
骏,spirited horse,jun4,horse + streetwalker,⿰ (left-right),⿰马夋,"马 = horse, 夋 = streetwalker",SC::L1
琅,jade-like stone,lang2,high-quality / good,⿰ (left-right),⿰𤣩良,良 = high-quality / good,SC::L1
捺,to press down firmly,na4,fingers + can't help but / Nara,⿰ (left-right),⿰扌奈,"扌 = fingers, 奈 = can't help but / Nara",SC::L1
焉,where,yan1,correct,⿱ (top-bottom),⿱正{1},正 = correct,SC::L1
捶,to beat (with a stick or one's fist),chui2,fingers + droop,⿰ (left-right),⿰扌垂,"扌 = fingers, 垂 = droop",SC::L1
赦,to pardon (a convict),she4,crimson / red + taskmaster,⿰ (left-right),⿰赤攵,"赤 = crimson / red, 攵 = taskmaster",SC::L1
埠,wharf,bu4,soil,⿰ (left-right),⿰土阜,土 = soil,SC::L1
捻,to twirl (in the fingers),nian3,fingers + miss / wish,⿰ (left-right),⿰扌念,"扌 = fingers, 念 = miss / wish",SC::L1
掐,to pick (flowers),qia1,fingers + pothole,⿰ (left-right),⿰扌臽,"扌 = fingers, 臽 = pothole",SC::L1
掂,to weigh in the hand,dian1,fingers + store,⿰ (left-right),⿰扌店,"扌 = fingers, 店 = store",SC::L1
掺,to mix,chan1,fingers + participate / visit,⿰ (left-right),⿰扌参,"扌 = fingers, 参 = participate / visit",SC::L1
聆,to hear,ling2,ear + orders,⿰ (left-right),⿰耳令,"耳 = ear, 令 = orders",SC::L1
婪,avaricious,lan2,woods / grove + woman,⿱ (top-bottom),⿱林女,"林 = woods / grove, 女 = woman",SC::L1
梧,Sterculia platanifolia,wu2,tree + I (literary),⿰ (left-right),⿰木吾,"木 = tree, 吾 = I (literary)",SC::L1
酝,to brew,yun4,sign of the bird + utter / quote / cloud,⿰ (left-right),⿰酉云,"酉 = sign of the bird, 云 = utter / quote / cloud",SC::L1
酗,to become violent under the influence of alcohol,xu4,sign of the bird + sinister / villain / cruel,⿰ (left-right),⿰酉凶,"酉 = sign of the bird, 凶 = sinister / villain / cruel",SC::L1
硅,silicon (chemistry),gui1,stone + squared jewel,⿰ (left-right),⿰石圭,"石 = stone, 圭 = squared jewel",SC::L1
匾,horizontal rectangular inscribed tablet hung over a door or on a wall,bian3,box + flat,⿷ (surround-open-right),⿷匚扁,"匚 = box, 扁 = flat",SC::L1
颅,skull,lu2,Louvre + page,⿰ (left-right),⿰卢页,"卢 = Louvre, 页 = page",SC::L1
