character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
上,above,44,45,49,"shǎng: see 上聲|上声[shǎng shēng] | shàng: on top, upon, above, upper",magic wand + floor,⿱ (top-bottom),⿱⺊一,"卜 = divination (alias: magic wand), 一 = one (alias: floor)",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
下,below,45,46,50,"xià: down, downwards, below, lower",magic wand + ceiling,⿱ (top-bottom),⿱一卜,"卜 = divination (alias: magic wand), 一 = one (alias: ceiling)",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
不,no / negative,924,993,1217,"bù: (negative prefix), not, no",ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"一 = one (alias: ceiling), 人 = person, 丶 = a drop of (alias: eyedropper)",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
与,offer / bestow,,1034,1246,"yú: (same as 歟|欤, final particle expression doubt or surprise, similar to 吗 or 呢) | yǔ: and, to give, together with | yù: take part in",pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"囧与－丨一 = pointed tail, 囧与－一 = slingshot",RSH RTK,RSH1::L33 RTK1v5::L33
丑,clown / sign of the cow,1489,1486,2040,"chǒu: clown, 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox, shameful, ugly",needle + key,⿻ (overlaid),⿻{42}丨,"十 = ten (alias: needle), 囧侯－亻－矢 = key",RSH RTH RTK,RSH1::L55 RTH1::L55 RTK1v5::L56
专,specialty,,1238,,"zhuān: for a particular person, occasion, purpose, focused on one thing, special, expert",cornstalk + chop,⿱ (top-bottom),⿱⿻一𠀁丶,"囧奉－𡗗 = cornstalk, 囧节－艹 = chop",RSH,RSH1::L39 primitive
且,moreover,1297,1345,2034,"qiě: and, moreover, yet, for the time being",glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"冂 = hood (alias: glass cover), 一 = one (alias: floor)",RSH RTH RTK,RSH1::L46 RTH1::L45 RTK1v5::L56 primitive
世,generation,27,28,28,"shì: life, age, generation, era",ten,⿻ (overlaid),⿻廿𠃊,十 = ten (alias: needle),RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
丘,hill,1003,1079,1329,"qiū: mound, hillock, grave, classifier for fields",tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,斤 = catty (alias: tomahawk),RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
丙,third / third class,780,842,1020,"bǐng: third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl",ceiling + internal,⿱ (top-bottom),⿱一内,"一 = one (alias: ceiling), 内 = internal",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
业,profession,,1351,,"yè: line of business, industry, occupation, job",side by side,⿱ (top-bottom),⿱⿻⿰丨丨丷一,並 = side by side,RSH,RSH1::L46
丛,thicket,,2104,,"cóng: cluster, collection, collection of books, thicket",assembly line + floor,⿱ (top-bottom),⿱从一,"从 = follow (alias: assembly line), 一 = one (alias: floor)",RSH,RSH2::L26
东,east,,1249,,"dōng: east, host (i.e. sitting on east side of guest), landlord",car + a drop of,⿻ (overlaid),⿻⿻一𠃋小,"车 = car (alias: cart, wagon, vehicle), 丶 = a drop of (alias: eyedropper)",RSH,RSH1::L40 primitive
丝,silk,,1081,,"sī: silk, thread, trace, CL:條|条[tiáo]",thread,⿱ (top-bottom),⿱⿰{27}{27}一,纟 = thread,RSH,RSH1::L35
両,both,,,1168,,floor + glass cover + pit + walking stick,⿻ (overlaid),⿻𰀃山,"一 = one (alias: floor), 冂 = hood (alias: glass cover), 凵 = pit, 丨 = walking stick",RTK,RTK1v5::L31 primitive
丢,mislay,,1915,,"diū: to lose, to put aside, to throw",thousand + wall,⿱ (top-bottom),⿱㇒去,"千 = thousand, 囧会－亼 = wall",RSH,RSH2::L22
两,dos,,1478,,"liǎng: two, both, some, a few",person + belt,⿱ (top-bottom),⿱一⿻冂从,"人 = person, 囧冂 = belt",RSH,RSH1::L55 primitive
严,strict,,1355,,"yán: tight (closely sealed), stern, strict, rigorous",Asia + cliff,⿱ (top-bottom),⿱亚丿,"亚 = Asia, 厂 = factory (alias: cliff)",RSH,RSH1::L46
並,side by side / row,1302,,1785,"bìng: and, furthermore, also, together with",animal horns + floor + profession,⿱ (top-bottom),⿱䒑业,"丷 = horns (alias: animal horns), 一 = one (alias: floor), 业 = profession",RTH RTK,RTH1::L46 RTK1v5::L47 primitive
丧,funeral,,1427,,"sāng: to make funeral arrangements, to be in mourning, corpse (old) | sàng: to lose, to flee, to be defeated, to die",soil + animal horns + barrette,⿱ (top-bottom),⿱⿻土丷{25},"土 = soil (alias: ground, dirt, land), 丷 = horns (alias: animal horns), 囧丧－十－丷 = barrette",RSH,RSH1::L51
丨,walking stick,,,,shù: see 豎筆|竖笔[shù bǐ] | gǔn: radical in Chinese characters (Kangxi radical 2),one,,丨,"一 = one (alias: floor, ceiling)",,primitive
丩,cornucopia,,,,jiū: archaic variant of 糾|纠[jiū],𠄌 + walking stick,⿰ (left-right),⿰𠄌丨,丨 = walking stick,,primitive
个,individual,,258,,"gè: individual, this, that, size",umbrella + walking stick,⿱ (top-bottom),⿱𠆢丨,"𠆢 = umbrella, 丨 = walking stick",RSH,RSH1::L12
中,middle / in,36,38,39,"Zhōng: China, Chinese, surname Zhong | zhōng: within, among, in, middle | zhòng: to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)",walking stick + mouth,⿻ (overlaid),⿻口丨,"丨 = walking stick, 口 = mouth",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
丰,plentiful,,1225,,"fēng: luxuriant, buxom, variant of 豐|丰[fēng], variant of 風|风[fēng]",three + walking stick,⿻ (overlaid),⿻三丨,"三 = three, 丨 = walking stick",RSH,RSH1::L39 primitive
串,string together / shish kebab,1504,1506,603,"chuàn: to string together, to mix up, to conspire, to rove",mouth + mouth + walking stick,⿻ (overlaid),⿻吕丨,"口 = mouth, 丨 = walking stick",RSH RTH RTK,RSH2::L03 RTH2::L03 RTK1v5::L22 primitive
临,be about to,,1012,,"lín: to face, to overlook, to arrive, to be (just) about to",fencing foil + a drop of + reclining + sun,⿲ (left-mid-right),⿲丨丨⿱⿱𠂉丶𫩏,"囧坚－圣 = fencing foil, 丶 = a drop of (alias: eyedropper), 𠂉 = reclining (alias: lying (down)), 日 = day (alias: sun)",RSH,RSH1::L32
丶,a drop of (also: eyedropper),,,,diǎn: see 點|点[diǎn] | zhǔ: radical in Chinese characters (Kangxi radical 3),,,丶,,,primitive
丷,horns (also: animal horns),,,,"bā: eight component in Chinese characters, archaic variant of 八[bā] | xx: one of the characters used in kwukyel, an ancient Korean writing system",one,⿰ (left-right),⿰丶㇒,"一 = one (alias: floor, ceiling)",,primitive
丸,pill / round,41,42,44,wán: pill,baseball,⿻ (overlaid),⿻九丶,九 = nine (alias: baseball),RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
丹,cinnabar red,1537,1554,2038,"dān: red, pellet, powder, cinnabar",hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"冂 = hood (alias: glass cover, cowl, helmet), 丶 = a drop of (alias: eyedropper), 一 = one (alias: floor, ceiling)",RSH RTH RTK,RSH2::L09 RTH2::L09 RTK1v5::L56
为,act,,746,,"wéi: as (in the capacity of), to take sth as, to act as, to serve as | wèi: because of, for, to, variant of 為|为[wèi], because of",a drop of + muscle,,⿽⿵力丶丶,"丶 = a drop of (alias: eyedropper), 力 = power (alias: muscle)",RSH,RSH1::L24
主,lord,259,277,266,"zhǔ: owner, master, host, individual or party concerned",a drop of + king + jade,⿱ (top-bottom),⿱丶王,"丶 = a drop of (alias: eyedropper), 王 = king (alias: scepter), 玉 = jade (alias: jewel, ball)",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12 primitive
丽,lovely,,187,,Lí: Korea | lì: beautiful,helmet + ceiling + a drop of,⿱ (top-bottom),⿱一⿰⿵冂丶⿵冂丶,"冂 = hood (alias: helmet), 一 = one (alias: ceiling), 丶 = a drop of (alias: eyedropper)",RSH,RSH1::L09
举,lift up,,1434,,"jǔ: to lift, to hold up, to cite, to enumerate",excitement + cornstalk,⿱ (top-bottom),⿱兴𰀁,"兴 = excitement, 囧奉－𡗗 = cornstalk",RSH,RSH1::L52
乃,only then / from,582,625,686,"nǎi: to be, thus, so, therefore",𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,丿 = drop,RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23 primitive
久,long time,778,839,1016,"jiǔ: (long) time, (long) duration of time",bound up + person,,久,"勹 = bound up, 人 = person",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
乇,fur ball,,,,tuō: archaic variant of 托[tuō] | zhé: blade of grass component in Chinese characters,fur,⿱ (top-bottom),⿱㇒七,毛 = fur,,primitive
么,(suffix),,670,,"yāo: youngest, most junior, tiny, one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) | má: exclamatory final particle | ma: interrogative final particle | me: suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc",a drop of + elbow,⿱ (top-bottom),⿱㇒厶,"丶 = a drop of (alias: eyedropper), 厶 = elbow",RSH,RSH1::L22
义,righteousness,,1182,,"yì: justice, righteousness, meaning",sheaf + a drop of,⿶ (surround-open-top),⿶乂丶,"㐅 = sheaf, 丶 = a drop of (alias: eyedropper)",RSH,RSH1::L38 primitive
之,of,921,990,1214,"zhī: (possessive particle, literary equivalent of 的), him, her, it",a drop of,⿱ (top-bottom),⿱丶{100},丶 = a drop of (alias: eyedropper),RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
乌,crow,,2873,,"Wū: abbr. for Ukraine 烏克蘭|乌克兰[Wū kè lán], surname Wu | wū: crow, black",bird + a drop of,,㇯鸟丶,"鸟 = bird, 丶 = a drop of (alias: eyedropper)",RSH,RSH2::L52
乍,for the first time,865,937,,"zhà: at first, suddenly, abruptly, to spread",dropdrop + floor + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"㇒ = dropdrop, 一 = one (alias: floor), 丨 = walking stick, 二 = two",RSH RTH,RSH1::L30 RTH1::L30 primitive
乎,ooh!,1106,1165,,"hū: (classical particle similar to 於|于[yú]) in, at, from, because",water lily,⿻ (overlaid),⿻𠂌丷,平 = even (alias: water lily),RSH RTH,RSH1::L38 RTH1::L38
乏,weary / destitution,922,991,1215,"fá: short of, tired",eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"丶 = a drop of (alias: eyedropper), 之 = of (alias: sign of Zorro)",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32
乐,music,,662,,"lè: happy, cheerful, to laugh | yuè: music",drag + pole,⿻ (overlaid),⿻⿱㇒𠃋小,"𠂆 = drag, 木 = tree (alias: pole)",RSH,RSH1::L22
乒,ping,2999,2999,,"pīng: onomat. ping, bing",troops,⿱ (top-bottom),⿱丘㇒,兵 = troops,RSH RTH,RSH2::Compounds RTH2::Compounds
乓,pong,3000,3000,,pāng: onomat. bang,troops,⿱ (top-bottom),⿱丘丶,兵 = troops,RSH RTH,RSH2::Compounds RTH2::Compounds
乔,pretend,,441,,qiáo: tall,crutches + die young,⿱ (top-bottom),⿱夭⿰丿丨,"囧介－𠆢 = crutches, 夭 = die young",RSH,RSH1::L18 primitive
乖,well-behaved,1677,1705,,"guāi: (of a child) obedient, well-behaved, clever, shrewd, alert",thousand + north,⿻ (overlaid),⿻千北,"千 = thousand, 北 = north",RSH RTH,RSH2::L18 RTH2::L18 primitive
乘,hitch a ride,1678,1706,,"chéng: to ride, to mount, to make use of, to avail oneself of | shèng: four horse military chariot (archaic), four (archaic), generic term for history books",goody-goody + umbrella,⿻ (overlaid),⿻禾北,"乖 = well-behaved (alias: goody-goody), 𠆢 = umbrella",RSH RTH,RSH2::L18 RTH2::L18
乙,second / fish guts,91,95,71,"yǐ: second of 10 heavenly stems 十天干, second in order, letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc, second party (in legal contract, usually 乙方[yǐ fāng], as opposed to 甲方[jiǎ fāng]) | zhé: turning stroke (in Chinese characters), see also 折[zhé]",,,乙,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L05 primitive
乛,beret,,,,zhé: variant of 乙[zhé],crown,,乛,冖 = crown,,primitive
九,nine,9,9,9,"jiǔ: nine, 9",,,九,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
乞,beg,434,470,462,qǐ: to beg,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"𠂉 = reclining (alias: lying (down)), 乙 = second (alias: hook)",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
也,also / est,476,505,2094,"yě: also, too, (in Classical Chinese) final particle implying affirmation",fishhook,⿻ (overlaid),⿻乜丨,乙 = second (alias: fishhook),RSH RTH RTK,RSH1::L20 RTH1::L20 RTK3v2::CH01 primitive
习,learn,,545,,"xí: to practice, to study, habit",wings,⿹ (top-right-wrap),⿹𠃌冫,羽 = feathers (alias: wings),RSH,RSH1::L20
乡,countryside,,1387,,"xiāng: country or countryside, native place, home village or town, township (PRC administrative unit)",cocoon,,乡,幺 = cocoon,RSH,RSH1::L48
书,book,,1393,,"Shū: abbr. for 書經|书经[shū jīng] | shū: book, letter, document, CL:本[běn],冊|册[cè],部[bù]",key + clothes hanger + walking stick + a drop of,⿺ (bottom-left-wrap),⿺⿻⿱𠃍𠃌丨丶,"囧侯－亻－矢 = key, 𠃌 = clothes hanger, 丨 = walking stick, 丶 = a drop of (alias: eyedropper)",RSH,RSH1::L49
买,buy,,858,,"mǎi: to buy, to purchase",beret + bust,⿱ (top-bottom),⿱乛头,"乛 = beret, 头 = head (alias: bust)",RSH,RSH1::L27
乱,chaos / riot,,100,72,"luàn: in confusion or disorder, in a confused state of mind, disorder, upheaval",tongue + fishhook,⿰ (left-right),⿰舌乚,"舌 = tongue, 乙 = second (alias: fishhook)",RSH RTK,RSH1::L06 RTK1v5::L05
乳,breast / milk,2362,2430,729,"rǔ: breast, milk",fledglings + fishhook,⿰ (left-right),⿰孚乚,"孚 = fledglings, 乙 = second (alias: fishhook)",RSH RTH RTK,RSH2::L36 RTH2::L36 RTK1v5::L23
乾,dry / drought,436,,463,"qián: one of the Eight Trigrams 八卦[bā guà], symbolizing heaven, male principle, ☰ | gān: dry, clean, in vain, dried food",mist + beg,⿰ (left-right),⿰𠦝乞,"𠦝 = mist, 乞 = beg",RTH RTK,RTH1::L18 RTK1v5::L18 primitive
了,(-ed) / complete,95,101,97,"le: (modal particle intensifying preceding clause), (completed action marker) | liǎo: to finish, to achieve, to understand, (of eyes) bright",child,⿱ (top-bottom),⿱乛亅,子 = child,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
予,bestow / beforehand,936,1007,1593,"yú: (archaic) I, me | yǔ: to give",spear,⿱ (top-bottom),⿱龴𠄐,矛 = spear,RSH RTH RTK,RSH1::L32 RTH1::L32 RTK1v5::L41 primitive
争,contend,,951,1154,"zhēng: to strive for, to vie for, to argue or debate, deficient or lacking (dialect)",bound up + rake,⿱ (top-bottom),⿱⺈⿻{43}亅,"勹 = bound up, 肀 = rake",RSH RTK,RSH1::L30 RTK1v5::L31
事,matter,878,953,1156,"shì: matter, thing, item, work",one + mouth + rake,⿻ (overlaid),⿻⿱𠮛{43}亅,"一 = one (alias: floor, ceiling), 口 = mouth, 肀 = rake",RSH RTH RTK,RSH1::L30 RTH1::L30 RTK1v5::L31
二,two,2,2,2,"èr: two, 2, stupid (Beijing dialect)",one,⿱ (top-bottom),⿱一一,"一 = one (alias: floor, ceiling)",RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
于,Yu,1230,1283,,"yú: to go, to take, sentence-final interrogative particle, variant of 於|于[yú]",clothesline,⿱ (top-bottom),⿱一𬺰,干 = dry (alias: clothesline),RSH RTH,RSH1::L42 RTH1::L42 primitive
亏,loss,,2286,,"kuī: deficiency, deficit, luckily",snare,⿱ (top-bottom),⿱一丂,丂 = snare,RSH,RSH2::L32 primitive
云,utter / quote / cloud,395,428,2102,"yún: (classical) to say, cloud, CL:朵[duǒ] | Yún: surname Yun, abbr. for Yunnan Province 雲南省|云南省[Yún nán shěng]",two + 𠃋 + eyedropper,⿱ (top-bottom),⿱二厶,"二 = two, 丶 = a drop of (alias: eyedropper)",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK3v2::CH01 primitive
互,mutual / mutually,629,681,757,hù: mutual,wall,⿱ (top-bottom),⿱一彑,囧会－亼 = wall,RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
五,five,5,5,5,"wǔ: five, 5",floor + ㇯,⿱ (top-bottom),⿱一𫝀,一 = one (alias: floor),RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
井,well,1312,1360,1806,"jǐng: a well, CL:口[kǒu], neat, orderly | Jǐng: Jing, one of the 28 constellations of Chinese astronomy, surname Jing",two + drop + walking stick,⿻ (overlaid),⿻二⿰丿丨,"二 = two, 丿 = drop, 丨 = walking stick",RSH RTH RTK,RSH1::L47 RTH1::L47 RTK1v5::L48
亚,Asia,,1353,,"yà: Asia, Asian, second, next to",one + profession,⿱ (top-bottom),⿱一业,"一 = one (alias: floor, ceiling), 业 = profession",RSH,RSH1::L46
些,somewhat / whit,427,461,2046,"xiē: some, few, several, measure word indicating a small amount or small number (greater than 1)",this (literary) + two,⿱ (top-bottom),⿱此二,"此 = this (literary), 二 = two",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK3v2::CH01
亠,top hat,,,,,six + animal legs,⿱ (top-bottom),⿱丶一,"六 = six, 囧只－口 = animal legs",,primitive
亡,deceased,457,490,485,"wáng: to die, to lose, to be gone, to flee",top hat + hook,⿱ (top-bottom),⿱亠𠃊,"亠 = top hat, 乙 = second (alias: hook)",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19 primitive
亢,whirlwind,,,,"Kàng: surname Kang, Kang, one of the 28 constellations | kàng: high, overbearing, excessive",top hat + wind,⿱ (top-bottom),⿱亠几,"亠 = top hat, 几 = how many? (alias: wind)",,primitive
交,mingle,969,1046,1275,"jiāo: to hand over, to deliver, to pay (money), to turn over",top hat + father,⿱ (top-bottom),⿱亠父,"亠 = top hat, 父 = father",RSH RTH RTK,RSH1::L33 RTH1::L33 RTK1v5::L34
亥,sign of the hog,1136,1196,1519,"hài: 12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar",top hat + elbow + person,⿱ (top-bottom),⿱丶𠀔,"亠 = top hat, 厶 = elbow, 人 = person",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK1v5::L39 primitive
亦,likewise,1496,1491,,yì: also,top hat + animal legs + saber,⿱ (top-bottom),⿱亠⿻⿰丿亅八,"亠 = top hat, 囧只－口 = animal legs, 刀 = sword (alias: saber)",RSH RTH,RSH1::L55 RTH1::L55 primitive
产,products,,1314,,"chǎn: to give birth, to reproduce, to produce, product",standing up + cliff,⿳ (top-mid-bottom),⿳亠丷厂,"立 = standing up (alias: vase), 厂 = factory (alias: cliff)",RSH,RSH1::L44 primitive
亨,go smoothly,1607,1638,3001,"hēng: prosperous, henry (unit of inductance)",tall + -ed,⿳ (top-mid-bottom),⿳亠口了,"高 = tall (alias: tiara), 了 = -ed",RSH RTH RTK,RSH2::L14 RTH2::L14 RTK3v2::CH14
亩,Chinese acre,,324,,"mǔ: classifier for fields, unit of area equal to one fifteenth of a hectare",rice field + top hat,⿱ (top-bottom),⿱亠田,"田 = rice field (alias: brains), 亠 = top hat",RSH,RSH1::L14
享,enjoy / receive,297,326,308,"xiǎng: to enjoy, to benefit, to have the use of",child + tall,⿳ (top-mid-bottom),⿳亠口子,"子 = child, 高 = tall (alias: tiara)",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
京,capital,301,330,312,"Jīng: abbr. for Beijing, surname Jing, Jing ethnic minority | jīng: capital city of a country, big, algebraic term for a large number (old), artificial mound (old)",tall + small,⿱ (top-bottom),⿱亠𱒃,"高 = tall (alias: tiara), 小 = small",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14 primitive
亭,pavilion,299,328,311,"tíng: pavilion, booth, kiosk, erect",spike + tiara,⿱ (top-bottom),⿱{87}丁,"丁 = fourth (alias: spike), 高 = tall (alias: tiara)",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
亮,shiny / translucent,300,329,2920,"liàng: bright, clear, resonant, to shine",tiara + wind,⿱ (top-bottom),⿱{87}几,"高 = tall (alias: tiara), 几 = how many? (alias: wind)",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK3v2::CH03
亲,relatives,,1190,,"qīn: parent, one's own (flesh and blood), relative, related | qìng: parents-in-law of one's offspring",chili pepper + small,⿱ (top-bottom),⿱立木,"辛 = peppery (alias: chili pepper), 小 = small",RSH,RSH1::L38
亶,Mr. Hyde,,,,dǎn: sincere,top hat + return + daybreak,⿱ (top-bottom),⿱㐭旦,"亠 = top hat, 回 = return, 旦 = daybreak",,primitive
人,person,736,793,951,"rén: man, person, people, CL:個|个[gè],位[wèi]",,,人,,RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27 primitive
亼,meeting,,,,jí: variant of 集[jí],umbrella,⿱ (top-bottom),⿱𠆢一,𠆢 = umbrella,,primitive
亿,one hundred million,,2066,,yì: 100 million,person + fishhook,⿰ (left-right),⿰亻乙,"人 = person, 乙 = second (alias: fishhook)",RSH,RSH2::L26
什,what? / X,743,802,2968,"shí: ten (used in fractions, writing checks etc), assorted, miscellaneous | shén: what",person + needle,⿰ (left-right),⿰亻十,"人 = person, 十 = ten (alias: needle)",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK3v2::CH06
仁,benevolence / humanity,761,820,988,"rén: humane, kernel",two + person,⿰ (left-right),⿰亻二,"二 = two, 人 = person",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
仅,merely,,811,,"jǐn: barely, only, merely",person + crotch,⿰ (left-right),⿰亻又,"人 = person, 又 = again (alias: crotch)",RSH,RSH1::L26
仆,servant,,2059,,"pū: to fall forward, to fall prostrate | pú: servant",person + magic wand,⿰ (left-right),⿰亻卜,"人 = person, 卜 = divination (alias: magic wand)",RSH,RSH2::L26
仇,animosity / foe,1991,2055,2114,"chóu: hatred, animosity, enmity, rival | qiú: spouse, companion",person + baseball,⿰ (left-right),⿰亻九,"人 = person, 九 = nine (alias: baseball)",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK3v2::CH02
今,now,1186,1246,1587,"jīn: today, modern, present, current",meeting,⿱ (top-bottom),⿱⿵𠆢丶乛,亼 = meeting,RSH RTH RTK,RSH1::L40 RTH1::L40 RTK1v5::L41 primitive
介,introduce / jammed in,241,259,250,"jiè: to introduce, to lie between, between",umbrella + crutches,⿱ (top-bottom),⿱𠆢⿰丿丨,"𠆢 = umbrella, 囧介－𠆢 = crutches",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12
仍,still,751,809,,"réng: still, yet, to remain",person + fist,⿰ (left-right),⿰亻乃,"人 = person, 乃 = only then (alias: fist)",RSH RTH,RSH1::L26 RTH1::L26
从,follow,,846,,"cóng: from, via, passing through, through (a gap) | cōng: lax, yielding, unhurried | zòng: second cousin",person,⿰ (left-right),⿰人人,人 = person,RSH,RSH1::L26 primitive
仑,lifeguard,,,,"lún: to arrange, Kunlun (Karakorum) mountain range in Xinjiang",someone sitting on the ground + umbrella,⿱ (top-bottom),⿱𠆢匕,"匕 = ancient spoon (alias: someone sitting on the ground), 𠆢 = umbrella",,primitive
仓,storehouse,,1121,,"cāng: barn, granary, storehouse, cabin",umbrella + fingerprint,⿱ (top-bottom),⿱𠆢㔾,"𠆢 = umbrella, 㔾 = fingerprint",RSH,RSH1::L36
仔,meticulous / animal offspring,2001,2067,2113,"zǎi: variant of 崽[zǎi] | zī: see 仔肩[zī jiān] | zǐ: meticulous, (of domestic animals or fowls) young",person + child,⿰ (left-right),⿰亻子,"人 = person, 子 = child",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK3v2::CH02
他,he / other,752,810,961,"tā: he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object)",person + scorpion,⿰ (left-right),⿰亻也,"人 = person, 也 = also (alias: scorpion)",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
仗,battle,2041,2103,,"zhàng: weaponry, to hold (a weapon), to wield, to rely on",person + 100 Chinese inches,⿰ (left-right),⿰亻丈,"人 = person, 丈 = 100 Chinese inches",RSH RTH,RSH2::L26 RTH2::L26
