character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
丞,helping hand,,,2919,,beret + water + floor,⿱ (top-bottom),⿱氶一,"<span style=""color:#1a5276"">乛</span> <span style=""color:#666"">beret</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",RTK,RTK3v2::CH03
丟,mislay,1870,,,"diū: to lose, to put aside, to throw",floor + go,⿱ (top-bottom),⿱一去,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span>",RTH,RTH2::L22
両,both,,,1168,,floor + glass cover + pit + walking stick,⿻ (overlaid),⿻𰀃山,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">凵</span> <span style=""color:#666"">pit</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RTK,RTK1v5::L31 primitive
丢,mislay,,1915,,"diū: to lose, to put aside, to throw",thousand + wall,⿱ (top-bottom),⿱㇒去,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",RSH,RSH2::L22
两,dos,,1478,,"liǎng: two, both, some, a few",person + belt,⿱ (top-bottom),⿱一⿻冂从,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧冂</span> <span style=""color:#666"">belt</span>",RSH,RSH1::L55 primitive
严,strict,,1355,,"yán: tight (closely sealed), stern, strict, rigorous",Asia + cliff,⿱ (top-bottom),⿱亚丿,"<span style=""color:#1a5276"">亚</span> <span style=""color:#666"">Asia</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span>",RSH,RSH1::L46
並,side by side / row,1302,,1785,"bìng: and, furthermore, also, together with",animal horns + floor + profession,⿱ (top-bottom),⿱䒑业,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",RTH RTK,RTH1::L46 RTK1v5::L47 primitive
丧,funeral,,1427,,"sāng: to make funeral arrangements, to be in mourning, corpse (old) | sàng: to lose, to flee, to be defeated, to die",soil + animal horns + barrette,⿱ (top-bottom),⿱⿻土丷{25},"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">囧丧－十－丷</span> <span style=""color:#666"">barrette</span>",RSH,RSH1::L51
丨,walking stick,,,,shù: see 豎筆|竖笔[shù bǐ] | gǔn: radical in Chinese characters (Kangxi radical 2),one,,丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,primitive
丩,cornucopia,,,,jiū: archaic variant of 糾|纠[jiū],𠄌 + walking stick,⿰ (left-right),⿰𠄌丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,primitive
个,individual,,258,,"gè: individual, this, that, size",umbrella + walking stick,⿱ (top-bottom),⿱𠆢丨,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RSH,RSH1::L12
中,middle / in,36,38,39,"Zhōng: China, Chinese, surname Zhong | zhōng: within, among, in, middle | zhòng: to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)",walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
丰,plentiful,,1225,,"fēng: luxuriant, buxom, variant of 豐|丰[fēng], variant of 風|风[fēng]",three + walking stick,⿻ (overlaid),⿻三丨,"<span style=""color:#1a5276"">三</span> <span style=""color:#666"">three</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RSH,RSH1::L39 primitive
串,string together / shish kebab,1504,1506,603,"chuàn: to string together, to mix up, to conspire, to rove",mouth + mouth + walking stick,⿻ (overlaid),⿻吕丨,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RSH RTH RTK,RSH2::L03 RTH2::L03 RTK1v5::L22 primitive
临,be about to,,1012,,"lín: to face, to overlook, to arrive, to be (just) about to",fencing foil + a drop of + reclining + sun,⿲ (left-mid-right),⿲丨丨⿱⿱𠂉丶𫩏,"<span style=""color:#1a5276"">囧坚－圣</span> <span style=""color:#666"">fencing foil</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",RSH,RSH1::L32
丶,a drop of (also: eyedropper),,,,diǎn: see 點|点[diǎn] | zhǔ: radical in Chinese characters (Kangxi radical 3),,,丶,,,primitive
丷,horns (also: animal horns),,,,"bā: eight component in Chinese characters, archaic variant of 八[bā] | xx: one of the characters used in kwukyel, an ancient Korean writing system",one,⿰ (left-right),⿰丶㇒,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,primitive
丸,pill / round,41,42,44,wán: pill,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
丹,cinnabar red,1537,1554,2038,"dān: red, pellet, powder, cinnabar",hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",RSH RTH RTK,RSH2::L09 RTH2::L09 RTK1v5::L56
为,act,,746,,"wéi: as (in the capacity of), to take sth as, to act as, to serve as | wèi: because of, for, to, variant of 為|为[wèi], because of",a drop of + muscle,,⿽⿵力丶丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",RSH,RSH1::L24
主,lord,259,277,266,"zhǔ: owner, master, host, individual or party concerned",a drop of + king + jade,⿱ (top-bottom),⿱丶王,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12 primitive
丼,domburi,,,2884,,two + drop + walking stick + eyedropper,⿴ (surround),⿴井丶,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTK,RTK3v2::CH03
丽,lovely,,187,,Lí: Korea | lì: beautiful,helmet + ceiling + a drop of,⿱ (top-bottom),⿱一⿰⿵冂丶⿵冂丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: helmet)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH,RSH1::L09
举,lift up,,1434,,"jǔ: to lift, to hold up, to cite, to enumerate",excitement + cornstalk,⿱ (top-bottom),⿱兴𰀁,"<span style=""color:#1a5276"">兴</span> <span style=""color:#666"">excitement</span><br><span style=""color:#1a5276"">囧奉－𡗗</span> <span style=""color:#666"">cornstalk</span>",RSH,RSH1::L52
乃,only then / from,582,625,686,"nǎi: to be, thus, so, therefore",𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23 primitive
久,long time,778,839,1016,"jiǔ: (long) time, (long) duration of time",bound up + person,,久,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
乇,fur ball,,,,tuō: archaic variant of 托[tuō] | zhé: blade of grass component in Chinese characters,fur,⿱ (top-bottom),⿱㇒七,"<span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span>",,primitive
么,(suffix),,670,,"yāo: youngest, most junior, tiny, one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) | má: exclamatory final particle | ma: interrogative final particle | me: suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc",a drop of + elbow,⿱ (top-bottom),⿱㇒厶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",RSH,RSH1::L22
义,righteousness,,1182,,"yì: justice, righteousness, meaning",sheaf + a drop of,⿶ (surround-open-top),⿶乂丶,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH,RSH1::L38 primitive
之,of,921,990,1214,"zhī: (possessive particle, literary equivalent of 的), him, her, it",a drop of,⿱ (top-bottom),⿱丶{100},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
乌,crow,,2873,,"Wū: abbr. for Ukraine 烏克蘭|乌克兰[Wū kè lán], surname Wu | wū: crow, black",bird + a drop of,,㇯鸟丶,"<span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH,RSH2::L52
乍,for the first time,865,937,,"zhà: at first, suddenly, abruptly, to spread",dropdrop + floor + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"<span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",RSH RTH,RSH1::L30 RTH1::L30 primitive
乎,ooh!,1106,1165,,"hū: (classical particle similar to 於|于[yú]) in, at, from, because",water lily,⿻ (overlaid),⿻𠂌丷,"<span style=""color:#1a5276"">平</span> <span style=""color:#666"">even</span> <span style=""color:#999"">(alias: water lily)</span>",RSH RTH,RSH1::L38 RTH1::L38
乏,weary / destitution,922,991,1215,"fá: short of, tired",eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">之</span> <span style=""color:#666"">of</span> <span style=""color:#999"">(alias: sign of Zorro)</span>",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32
乐,music,,662,,"lè: happy, cheerful, to laugh | yuè: music",drag + pole,⿻ (overlaid),⿻⿱㇒𠃋小,"<span style=""color:#1a5276"">𠂆</span> <span style=""color:#666"">drag</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: pole)</span>",RSH,RSH1::L22
乒,ping,2999,2999,,"pīng: onomat. ping, bing",troops,⿱ (top-bottom),⿱丘㇒,"<span style=""color:#1a5276"">兵</span> <span style=""color:#666"">troops</span>",RSH RTH,RSH2::Compounds RTH2::Compounds
乓,pong,3000,3000,,pāng: onomat. bang,troops,⿱ (top-bottom),⿱丘丶,"<span style=""color:#1a5276"">兵</span> <span style=""color:#666"">troops</span>",RSH RTH,RSH2::Compounds RTH2::Compounds
乔,pretend,,441,,qiáo: tall,crutches + die young,⿱ (top-bottom),⿱夭⿰丿丨,"<span style=""color:#1a5276"">囧介－𠆢</span> <span style=""color:#666"">crutches</span><br><span style=""color:#1a5276"">夭</span> <span style=""color:#666"">die young</span>",RSH,RSH1::L18 primitive
乖,well-behaved,1677,1705,,"guāi: (of a child) obedient, well-behaved, clever, shrewd, alert",thousand + north,⿻ (overlaid),⿻千北,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">北</span> <span style=""color:#666"">north</span>",RSH RTH,RSH2::L18 RTH2::L18 primitive
乗,ride,,,1585,,dropdrop + floor + walking stick + umbrella + floor + walking stick + walking stick + floor,⿻ (overlaid),⿻禾龷,"<span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",RTK,RTK1v5::L40
乘,hitch a ride,1678,1706,,"chéng: to ride, to mount, to make use of, to avail oneself of | shèng: four horse military chariot (archaic), four (archaic), generic term for history books",goody-goody + umbrella,⿻ (overlaid),⿻禾北,"<span style=""color:#1a5276"">乖</span> <span style=""color:#666"">well-behaved</span> <span style=""color:#999"">(alias: goody-goody)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",RSH RTH,RSH2::L18 RTH2::L18
乙,second / fish guts,91,95,71,"yǐ: second of 10 heavenly stems 十天干, second in order, letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc, second party (in legal contract, usually 乙方[yǐ fāng], as opposed to 甲方[jiǎ fāng]) | zhé: turning stroke (in Chinese characters), see also 折[zhé]",,,乙,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L05 primitive
乛,beret,,,,zhé: variant of 乙[zhé],crown,,乛,"<span style=""color:#1a5276"">冖</span> <span style=""color:#666"">crown</span>",,primitive
九,nine,9,9,9,"jiǔ: nine, 9",,,九,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
乞,beg,434,470,462,qǐ: to beg,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
也,also / est,476,505,2094,"yě: also, too, (in Classical Chinese) final particle implying affirmation",fishhook,⿻ (overlaid),⿻乜丨,"<span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",RSH RTH RTK,RSH1::L20 RTH1::L20 RTK3v2::CH01 primitive
习,learn,,545,,"xí: to practice, to study, habit",wings,⿹ (top-right-wrap),⿹𠃌冫,"<span style=""color:#1a5276"">羽</span> <span style=""color:#666"">feathers</span> <span style=""color:#999"">(alias: wings)</span>",RSH,RSH1::L20
乡,countryside,,1387,,"xiāng: country or countryside, native place, home village or town, township (PRC administrative unit)",cocoon,,乡,"<span style=""color:#1a5276"">幺</span> <span style=""color:#666"">cocoon</span>",RSH,RSH1::L48
